FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
SHORTY'S PLACE                      ,"1280 COFFEEN STREET,  WATERTOWN",03/21/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,15,Watertown District Office,JEFFERSON,22-AH10   ,1280 COFFEEN STREET  ,WATERTOWN,13601    ,220100,WATERTOWN,SHORTY'S PLACE,12/31/2016,Food Service Establishment,Restaurant,Chappy's 50's Classic Diner,"1017 COFFEEN STREET, INC.",Cavallario,Michael,363680,Inspection,,NY,43.98783,-75.940924
BURGER KING #400 (ARSENAL ST.)      ,"1081 ARSENAL STREET,  WATERTOWN",06/05/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Watertown District Office,JEFFERSON,22-AD64   ,1081 ARSENAL STREET  ,WATERTOWN,13601    ,220100,WATERTOWN,BURGER KING #400 (ARSENAL ST.),12/31/2016,Food Service Establishment,Restaurant,BURGER KING #400 (ARSENAL STREET),"CARROLS, LLC",Flanders,Paul,362921,Inspection,,NY,43.976808,-75.937737
COACH LIGHT INN                     ,"5555 PARTRIDGEVILLE  ROAD,  BRANTINGHAM",03/19/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,17,Watertown District Office,LEWIS,24-AA28   ,5555 PARTRIDGEVILLE  ROAD,BRANTINGHAM,13312    ,245300,GREIG,COACH LIGHT INN,12/31/2016,Food Service Establishment,Restaurant,,,Doney,Robert,364086,Inspection,"Cl2 residual 1.0ppm, sanitary survey not conducted.
walkin cooler- 40F.  life water cooler - 40F
Multiple persistent and repeat violations cited.  Facility is in extremely poor physical condition and is not being maintained in a sanitary condition.",NY,,
HALFWAY HOUSE TAVERN                ,"26 MAIN STREET,  RAVENA",01/04/2007,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,1,0,5,Albany County,ALBANY,01-6009   ,26 MAIN STREET,RAVENA,12143    ,015200,COEYMANS,HALFWAY HOUSE TAVERN,09/30/2016,Food Service Establishment,Restaurant,,,MISURACA,TERESA,252392,Inspection,,NY,42.472922,-73.802501
W. ALBANY ITALIAN BENEVOLENT SOCIETY,"50 EXCHANGE STREET,  ALBANY",12/04/2008,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,1,Albany County,ALBANY,01-3149   ,50 EXCHANGE STREET,ALBANY,12205    ,015300,COLONIE,W. ALBANY ITALIAN BENEVOLENT SOCIETY,03/31/2017,Food Service Establishment,Restaurant,,WEST ALBANY ITALIAN BENEVOLENT SOCIETY,SPENZIERO,WAYNE,251846,Inspection,,NY,42.684693,-73.782397
DELI BUTTON                         ,"2003 ROUTE 52,  HOPEWELL JUNCTION",02/28/2008,None,,Not Critical Violation,,,,Dutchess County,DUTCHESS,0000213   ,2003 ROUTE 52  ,HOPEWELL JUNCTION,12533    ,135400,E. FISHKILL,DELI BUTTON,12/31/2016,Food Service Establishment,Restaurant,,, NARDONE,FRANK,273808,Re-Inspection,,NY,,
HALFWAY HOUSE TAVERN                ,"26 MAIN STREET,  RAVENA",07/21/2009,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,2,0,6,Albany County,ALBANY,01-6009   ,26 MAIN STREET,RAVENA,12143    ,015200,COEYMANS,HALFWAY HOUSE TAVERN,09/30/2016,Food Service Establishment,Restaurant,,,MISURACA,TERESA,252392,Inspection,,NY,42.472922,-73.802501
Retreat (The)                       ,"302 Vine STREET,  Liverpool",03/23/2007,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,8,0,32,Onondaga County,ONONDAGA,428       ,302 Vine STREET,Liverpool,13088    ,336400,SALINA,Retreat (The),01/31/2017,Food Service Establishment,Restaurant,,,Gormel,John,292914,Inspection,,NY,43.101803,-76.206753
Marcellus Volunteer Fire Department ,"4242 Slate Hill ROAD,  Marcellus",06/12/2007,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,0,12,Onondaga County,ONONDAGA,370       ,4242 Slate Hill ROAD,Marcellus,13108    ,336000,MARCELLUS,Marcellus Volunteer Fire Department,01/31/2017,Food Service Establishment,Food Service Establishment,,Village of Marcellus,,,292863,Inspection,,NY,42.97628,-76.332762
Kyoko's Restaurant                  ,"111 Brooklea DRIVE,  Fayetteville",11/05/2007,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,8,Onondaga County,ONONDAGA,2265      ,111 Brooklea DRIVE,Fayetteville,13066    ,335900,MANLIUS,Kyoko's Restaurant,01/31/2017,Food Service Establishment,Restaurant,,Nippon Foods Corporation,Stevens,Elizabeth,294443,Inspection,,NY,43.029962,-76.012213
Pheobe's Restaurant                 ,"900 EAST Genesee STREET,  Syracuse",11/15/2007,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,9,0,21,Onondaga County,ONONDAGA,63        ,900 EAST Genesee STREET,Syracuse,13210    ,330100,SYRACUSE,Pheobe's Restaurant,01/31/2017,Food Service Establishment,Restaurant,,"Phoebe's Restaurant, LLC",Eberhardt,William,292592,Inspection,,NY,43.046898,-76.137653
Harry's Bar & Grille                ,"700 SOUTH Crouse AVENUE,  Syracuse",12/06/2007,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,17,Onondaga County,ONONDAGA,809       ,700 SOUTH Crouse AVENUE,Syracuse,13210    ,330100,SYRACUSE,Harry's Bar & Grille,01/31/2017,Food Service Establishment,Restaurant,,"Ixtapa Enterprise, Inc.",Shahin,John,293250,Inspection,,NY,43.042602,-76.136696
Scotch N Sirloin                    ,"3687 Erie Boulevard East,  Dewitt",01/25/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Onondaga County,ONONDAGA,1362      ,3687 Erie Boulevard East  ,Dewitt,13214    ,335300,DEWITT,Scotch N Sirloin,01/31/2017,Food Service Establishment,Restaurant,,"Dartom, L.L.C.",Tiffany Jr.,Thomas,293697,Re-Inspection,,NY,43.037385,-76.065324
Syracuse Stage                      ,"820 EAST Genesee STREET,  Syracuse",09/08/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Onondaga County,ONONDAGA,62        ,820 EAST Genesee STREET,Syracuse,13210    ,330100,SYRACUSE,Syracuse Stage,01/31/2017,Food Service Establishment,Food Service Establishment,,S.U. Theatre Corporation,Coles,Diana,292591,Inspection,,NY,43.046985,-76.138732
Alvord House                        ,"5 EAST Main STREET,  Marcellus",12/04/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,0,3,Onondaga County,ONONDAGA,181       ,5 EAST Main STREET,Marcellus,13108    ,336000,MARCELLUS,Alvord House,01/31/2017,Food Service Establishment,Restaurant,,"The Alvord House, Inc.","Dillion, Jr.",Edward,292694,Inspection,,NY,42.982519,-76.339483
Nancy's Deli & Cafe                 ,"1000 EAST Genesee STREET,  Syracuse",08/14/2009,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Onondaga County,ONONDAGA,3147      ,1000 EAST Genesee STREET,Syracuse,13210    ,330100,SYRACUSE,Nancy's Deli & Cafe,01/31/2017,Food Service Establishment,Restaurant,,"Nancy's Deli & Cafe, LLC",Wentzel,Nancy,542634,Inspection,,NY,43.0468,-76.136461
Alvord House                        ,"5 EAST Main STREET,  Marcellus",10/05/2009,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,4,Onondaga County,ONONDAGA,181       ,5 EAST Main STREET,Marcellus,13108    ,336000,MARCELLUS,Alvord House,01/31/2017,Food Service Establishment,Restaurant,,"The Alvord House, Inc.","Dillion, Jr.",Edward,292694,Inspection,,NY,42.982519,-76.339483
Joe's Deli @ 250 Clinton Street     ,"250 Clinton STREET,  Syracuse",12/31/2009,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,3,Onondaga County,ONONDAGA,2413      ,250 Clinton STREET,Syracuse,13202    ,330100,SYRACUSE,Joe's Deli @ 250 Clinton Street,01/31/2017,Food Service Establishment,Restaurant,,"Joe's Deli Syracuse, LLC",Barbaro,Joseph ,294591,Inspection,,NY,,
American Legion Post #188 Liverpool ,"205 Cypress STREET,  Liverpool",03/12/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Onondaga County,ONONDAGA,184       ,205 Cypress STREET,Liverpool,13088    ,336400,SALINA,American Legion Post #188 Liverpool,01/31/2017,Food Service Establishment,Food Service Establishment,,Liverpool American Legion #188,Palmer,Kenneth,292697,Inspection,,NY,43.102014,-76.204939
NOVITA                              ,"860 FRANKLIN  AVENUE,  GARDEN CITY",12/16/2011,16,"Miscellaneous, Economic Violation, Choking Poster, Training.",Not Critical Violation,0,0,9,Nassau  County,NASSAU,18376-02  ,860 FRANKLIN  AVENUE,GARDEN CITY,11530    ,290500,HEMPSTEAD,NOVITA,07/31/2016,Food Service Establishment,Restaurant,,VICTORY LI INC,,,578591,Inspection,,NY,40.727565,-73.634943
Kyoko's Restaurant                  ,"111 Brooklea DRIVE,  Fayetteville",12/02/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,7,Onondaga County,ONONDAGA,2265      ,111 Brooklea DRIVE,Fayetteville,13066    ,335900,MANLIUS,Kyoko's Restaurant,01/31/2017,Food Service Establishment,Restaurant,,Nippon Foods Corporation,Stevens,Elizabeth,294443,Inspection,,NY,43.029962,-76.012213
Faegan's Pub                        ,"734-736 SOUTH Crouse AVENUE,  Syracuse",12/09/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,6,Onondaga County,ONONDAGA,34        ,734-736 SOUTH Crouse AVENUE,Syracuse,13210    ,330100,SYRACUSE,Faegan's Pub,01/31/2017,Food Service Establishment,Restaurant,,Crouse West Holding Corp.,Dellas,John,292570,Inspection,,NY,43.042266,-76.136703
Spinning Wheel Restaurant (The)     ,"7384 Thompson ROAD,  North Syracuse",12/21/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,3,0,6,Onondaga County,ONONDAGA,400       ,7384 Thompson ROAD,North Syracuse,13212    ,335100,CICERO,Spinning Wheel Restaurant (The),01/31/2017,Food Service Establishment,Restaurant,,,Haselmayer,Robert ,292891,Inspection,,NY,43.128015,-76.099441
Marcellus Volunteer Fire Department ,"4242 Slate Hill ROAD,  Marcellus",03/08/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,3,Onondaga County,ONONDAGA,370       ,4242 Slate Hill ROAD,Marcellus,13108    ,336000,MARCELLUS,Marcellus Volunteer Fire Department,01/31/2017,Food Service Establishment,Food Service Establishment,,Village of Marcellus,,,292863,Inspection,,NY,42.97628,-76.332762
Nancy's Deli & Cafe                 ,"1000 EAST Genesee STREET,  Syracuse",04/07/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,8,Onondaga County,ONONDAGA,3147      ,1000 EAST Genesee STREET,Syracuse,13210    ,330100,SYRACUSE,Nancy's Deli & Cafe,01/31/2017,Food Service Establishment,Restaurant,,"Nancy's Deli & Cafe, LLC",Wentzel,Nancy,542634,Inspection,,NY,43.0468,-76.136461
Alvord House                        ,"5 EAST Main STREET,  Marcellus",08/02/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,4,0,3,Onondaga County,ONONDAGA,181       ,5 EAST Main STREET,Marcellus,13108    ,336000,MARCELLUS,Alvord House,01/31/2017,Food Service Establishment,Restaurant,,"The Alvord House, Inc.","Dillion, Jr.",Edward,292694,Inspection,,NY,42.982519,-76.339483
End Zone (The)                      ,"110 Old Liverpool ROAD,  Liverpool",08/30/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,7,Onondaga County,ONONDAGA,1051      ,110 Old Liverpool ROAD,Liverpool,13088    ,336400,SALINA,End Zone (The),01/31/2017,Food Service Establishment,Restaurant,,"Roberts Taverns, Inc.","Ventre, Jr.",Robert,293448,Inspection,,NY,43.081162,-76.179193
Buckley Landing                     ,"7430 Buckley ROAD,  North Syracuse",01/19/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,17,Onondaga County,ONONDAGA,1014      ,7430 Buckley ROAD,North Syracuse,13212    ,335200,CLAY,Buckley Landing,01/31/2017,Food Service Establishment,Food Service Establishment,,"Loretto Buckley Landing, Inc.",,,293414,Inspection,,NY,43.131675,-76.164136
Tully Hill-N-Dale Country Club      ,"6402 Route 80,  Tully",02/24/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Onondaga County,ONONDAGA,620       ,6402 Route 80  ,Tully,13159    ,335500,FABIUS,Tully Hill-N-Dale Country Club,01/31/2017,Food Service Establishment,Restaurant,,"Tully Hill-N-Dale Country Club, Inc.",Blaich,D. Gregory,293093,Re-Inspection,,NY,,
End Zone (The)                      ,"110 Old Liverpool ROAD,  Liverpool",05/04/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,10,Onondaga County,ONONDAGA,1051      ,110 Old Liverpool ROAD,Liverpool,13088    ,336400,SALINA,End Zone (The),01/31/2017,Food Service Establishment,Restaurant,,"Roberts Taverns, Inc.","Ventre, Jr.",Robert,293448,Inspection,,NY,43.081162,-76.179193
Retreat (The)                       ,"302 Vine STREET,  Liverpool",06/05/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,1,Onondaga County,ONONDAGA,428       ,302 Vine STREET,Liverpool,13088    ,336400,SALINA,Retreat (The),01/31/2017,Food Service Establishment,Restaurant,,,Gormel,John,292914,Re-Inspection,,NY,43.101803,-76.206753
Lafayette Inn                       ,"2419 US Route 11,  Lafayette",08/10/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,0,9,Onondaga County,ONONDAGA,599       ,2419 US Route 11  ,Lafayette,13084    ,335700,LAFAYETTE,Lafayette Inn,01/31/2017,Food Service Establishment,Food Service Establishment,,Davids Taverns LTD,LaBeff,David,293074,Inspection,,NY,,
C. Grant Grimshaw Elementary        ,"5957  Route 20,  LaFayette",01/23/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Onondaga County,ONONDAGA,210CSF    ,5957  Route 20  ,LaFayette,13084    ,335700,LAFAYETTE,C. Grant Grimshaw Elementary,12/31/2016,Institutional Food Service,School K-12 Food Service,,Lafayette Central School District,Kennedy,Robert,467290,Inspection,,NY,,
Tully High School                   ,"5850 Route 80,  Tully",04/22/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Onondaga County,ONONDAGA,342CSF    ,5850 Route 80  ,Tully,13159    ,333300,TULLY,Tully High School,08/31/2016,Institutional Food Service,School K-12 Food Service,,Tully Central School District,Kennedy,Robert,466966,Inspection,,NY,,
Gilfillan's West Hill Catering Club ,"2476 WEST Genesee TURNPIKE,  Camillus",04/30/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Onondaga County,ONONDAGA,1449      ,2476 WEST Genesee TURNPIKE,Camillus,13031    ,335000,CAMILLUS,Gilfillan's West Hill Catering Club,01/31/2017,Food Service Establishment,Restaurant,,"Gilfillan's West Hill Catering Club, Inc.",Gilfillan,Daniel ,293761,Inspection,,NY,43.03599,-76.337741
Faegan's Pub                        ,"734-736 SOUTH Crouse AVENUE,  Syracuse",05/30/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,0,21,Onondaga County,ONONDAGA,34        ,734-736 SOUTH Crouse AVENUE,Syracuse,13210    ,330100,SYRACUSE,Faegan's Pub,01/31/2017,Food Service Establishment,Restaurant,,Crouse West Holding Corp.,Dellas,John,292570,Inspection,,NY,43.042266,-76.136703
Burger King Restaurant #602         ,"3332 WEST Genesee STREET,  Syracuse",08/30/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,6,Onondaga County,ONONDAGA,221       ,3332 WEST Genesee STREET,Syracuse,13219    ,335600,GEDDES,Burger King Restaurant #602,01/31/2016,Food Service Establishment,Restaurant,,Jan-Geo Corp./Carrols Corp.,,,292731,Inspection,,NY,43.048565,-76.228016
Burger King Restaurant #250         ,"4734 Onondaga BOULEVARD,  Syracuse",10/07/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Onondaga County,ONONDAGA,220       ,4734 Onondaga BOULEVARD,Syracuse,13219    ,335600,GEDDES,Burger King Restaurant #250,01/31/2017,Food Service Establishment,Restaurant,,Carrols Corporation,Flanders,Paul,292730,Inspection,,NY,43.032671,-76.19249
Lafayette Alliance Church           ,"Route 20,  Lafayette",01/29/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Onondaga County,ONONDAGA,1009      , Route 20  ,Lafayette,13084    ,335700,LAFAYETTE,Lafayette Alliance Church,01/31/2017,Food Service Establishment,Food Service Establishment,,Lafayette Alliance Church,,,293409,Inspection,,NY,42.893118,-76.112919
Tully Hill-N-Dale Country Club      ,"6402 Route 80,  Tully",08/12/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,5,1,18,Onondaga County,ONONDAGA,620       ,6402 Route 80  ,Tully,13159    ,335500,FABIUS,Tully Hill-N-Dale Country Club,01/31/2017,Food Service Establishment,Restaurant,,"Tully Hill-N-Dale Country Club, Inc.",Blaich,D. Gregory,293093,Inspection,,NY,,
Harrison Bakery                     ,"1306 WEST Genesee STREET,  Syracuse",05/27/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,7,Onondaga County,ONONDAGA,641       ,1306 WEST Genesee STREET,Syracuse,13204    ,330100,SYRACUSE,Harrison Bakery,01/31/2017,Food Service Establishment,Bakery,,"Harrison Bakery, Inc.",Rothfeld,Michael,293108,Inspection,Facility has a pesticide application program bi-monthly.  Copy of recent pesticide application invoice will be added to file.,NY,43.052748,-76.179207
Justin's Grill                      ,"6400 Yorktown CIRCLE,  East Syracuse",06/22/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,20,Onondaga County,ONONDAGA,2537      ,6400 Yorktown CIRCLE,East Syracuse,13057    ,335300,DEWITT,Justin's Grill,01/31/2017,Food Service Establishment,Restaurant,,"NCJB Restaurant, LLC",Pascale,Neal,294714,Inspection,,NY,43.091489,-76.085314
Inn Between (The)                   ,"2290 WEST Genesee TURNPIKE,  Camillus",08/26/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,6,Onondaga County,ONONDAGA,318       ,2290 WEST Genesee TURNPIKE,Camillus,13031    ,335000,CAMILLUS,Inn Between (The),01/31/2017,Food Service Establishment,Restaurant,,Norbrand Associates,Cesta,Christopher,292816,Inspection,"**Note: Establishment has probe/metal-stem type thermometer onsite.

Ensure sanitary gloves used in conjuction with all ice scoops lacking handguards; storage of sanitary gloves in close proximity strongly recommended.  

Field visit will be conducted to check dish machine repair; if repaired, no formal reinspection required.

(Richard Petit assisted with inspection)",NY,43.035092,-76.349474
Lafayette Inn                       ,"2419 US Route 11,  Lafayette",09/10/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,12,Onondaga County,ONONDAGA,599       ,2419 US Route 11  ,Lafayette,13084    ,335700,LAFAYETTE,Lafayette Inn,01/31/2017,Food Service Establishment,Food Service Establishment,,Davids Taverns LTD,LaBeff,David,293074,Inspection,,NY,,
Oaks at Dewitt (The)                ,"18 Arbor LANE,  Dewitt",11/03/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Onondaga County,ONONDAGA,1622      ,18 Arbor LANE,Dewitt,13214    ,330100,SYRACUSE,Oaks at Dewitt (The),01/31/2017,Food Service Establishment,Food Service Establishment,,"Jewish Home of CNY Residential Living, Inc.",Wood,Robert,293887,Inspection,,NY,43.040256,-76.077444
LANDMARK INN                        ,"526 ROUTE 94,  WARWICK",05/23/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,1,Orange County,ORANGE,67904     ,526 ROUTE 94  ,WARWICK,10990    ,356700,WARWICK,Landmark Inn,06/30/2016,Food Service Establishment,Food Service Establishment,,"DiMartino, Inc.",DiMartino,Michael,601994,Inspection,,NY,41.23942,-74.37416
DENNY'S RESTAURANT #8195            ,"1283 ROUTE 300,  NEWBURGH",11/18/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,6,Orange County,ORANGE,631804    ,1283 ROUTE 300  ,NEWBURGH,12550    ,356300,NEWBURGH,Denny's Restaurant #8195           ,10/31/2016,Food Service Establishment,Food Service Establishment,,"Gill's Newburgh, Inc.",Gill,Hardev,602717,Inspection,,NY,41.50739,-74.068218
BURGER KING #301                    ,"10  NORTH PLANK  ROAD,  NEWBURGH",03/18/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Orange County,ORANGE,63292     ,10  NORTH PLANK  ROAD,NEWBURGH,12550    ,356300,NEWBURGH,Burger King #301                    ,10/31/2016,Food Service Establishment,Food Service Establishment,,Carrols LLC,Flanders,Paul,602553,Inspection,,NY,41.520391,-74.022786
EBENEZER BAPTIST CHURCH             ,"76  FIRST  STREET,  NEWBURGH",12/23/2009,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Orange County,ORANGE,22500     ,76  FIRST  STREET,NEWBURGH,12550    ,350200,NEWBURGH,Ebenezer Baptist Church,10/31/2016,Institutional Food Service,Nutrition for the Indigent,,"Ebenezer Baptist Church, Inc.",Minard,Sharon,601869,Inspection,,NY,41.502104,-74.008729
MR MIKES SEAFOOD                    ,"711 WEST BROADWAY,  FULTON",12/17/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Oswego County,OSWEGO,37-F674   , 711 WEST BROADWAY  ,FULTON,13069    ,370100,FULTON,MR MIKE'S SEAFOOD,12/31/2016,Food Service Establishment,Restaurant,,MR. MIKE'S SEAFOOD,BEVACQUA,GARY,789154,Inspection,"12/17/12

11D - DIRT BUILD UP INSIDE WALK-IN DOOR

8D - BOXES OF SINGLE SERVICE ITEMS STORED ON FLOOR AND CLOSET IN UNLOCKED LADIES ROOM.

11D - INTERIOR OF MICROWAVE OVEN HAS EXCESSIVE DRIED FOOD PARTICLES.

15A - KITCHEN FLOOR PAINT WORN OFF CONCRETE FLOOR IN SEVERAL AREAS - NOT SMOOTH AND EASILY CLEANABLE.",NY,43.31324,-76.426529
GEORGE'S PLACE                      ,"36  GLENEIDA AVENUE,  CARMEL",03/22/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Putnam County,PUTNAM,39-AB12   ,36  GLENEIDA AVENUE,CARMEL,10512    ,395000,CARMEL,GEORGE'S PLACE,03/31/2017,Food Service Establishment,Restaurant,,"BELCORE ENTERPRISES, INC,", POURAKIS,COSTAS & KAREN,299442,Inspection,,NY,41.4259,-73.678824
FOUNDRY CAFE                        ,"55 MAIN STREET,  COLD SPRING",10/04/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Putnam County,PUTNAM,39-AA65   ,55 MAIN STREET,COLD SPRING,10516    ,395300,PHILIPSTOWN,FOUNDRY CAFE,03/31/2017,Food Service Establishment,Restaurant,,SAM-CON LTD,CONSAGA,JEFFREY,299373,Inspection,,NY,41.417399,-73.958876
FOUNDRY CAFE                        ,"55 MAIN STREET,  COLD SPRING",02/07/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Putnam County,PUTNAM,39-AA65   ,55 MAIN STREET,COLD SPRING,10516    ,395300,PHILIPSTOWN,FOUNDRY CAFE,03/31/2017,Food Service Establishment,Restaurant,,SAM-CON LTD,CONSAGA,JEFFREY,299373,Inspection,,NY,41.417399,-73.958876
PEPE DELI                           ,"1741 ROUTE 6,  CARMEL",10/12/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Putnam County,PUTNAM,39-AB13   ,1741 ROUTE 6  ,CARMEL,10512    ,395000,CARMEL,PEPE DELI,03/31/2017,Food Service Establishment,Delicatessen,,PEPE DELI INC.,TUIQUINAGUI,SEGUNDO,717171,Inspection,,NY,41.421874,-73.677733
PEPE DELI                           ,"1741 ROUTE 6,  CARMEL",09/24/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,2,Putnam County,PUTNAM,39-AB13   ,1741 ROUTE 6  ,CARMEL,10512    ,395000,CARMEL,PEPE DELI,03/31/2017,Food Service Establishment,Delicatessen,,PEPE DELI INC.,TUIQUINAGUI,SEGUNDO,717171,Inspection,,NY,41.421874,-73.677733
GEORGE'S PLACE                      ,"36  GLENEIDA AVENUE,  CARMEL",11/12/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,7,Putnam County,PUTNAM,39-AB12   ,36  GLENEIDA AVENUE,CARMEL,10512    ,395000,CARMEL,GEORGE'S PLACE,03/31/2017,Food Service Establishment,Restaurant,,"BELCORE ENTERPRISES, INC,", POURAKIS,COSTAS & KAREN,299442,Inspection,,NY,41.4259,-73.678824
