FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
FAST EDDIES OF FISHKILL             ,"50 ELM STREET,  FISHKILL",04/20/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Dutchess County,DUTCHESS,50 ELM STREET,FISHKILL,12524    ,135500,FISHKILL,FAST EDDIES OF FISHKILL,04/30/2016,,,LA BOUNTY,EDWARD,652035,Inspection,No violations,NY,"(41.533328, -73.900364)"
SUNSET LANES                        ,"1317 CHILI AVENUE,  ROCHESTER",04/22/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,8,Food Service Establishment - Restaurant,Monroe County,MONROE,1317 CHILI AVENUE,ROCHESTER,14624    ,270104,ROCHESTER,SUNSET LANES,12/31/2016,,,,,667221,Inspection,,NY,"(43.138545, -77.670689)"
RED LANTERN HOUSE REST.             ,"25 MAIN STREET,  FORT PLAIN",04/26/2016,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Food Service Establishment,Herkimer District Office,MONTGOMERY,25 MAIN STREET,FORT PLAIN,13339    ,282400,CANAJOHARIE,RED LANTERN HOUSE RESTAURANT,05/31/2016,,,HUANG,YAN,658741,Inspection,Coolers/OK,NY,"(42.930733, -74.622921)"
MAYFIELDS PUB                       ,"669 NORTH WINTON ROAD,  ROCHESTER",04/25/2016,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12A-   Hot, cold running water not provided, pressure inadequate; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,Food Service Establishment - Restaurant,Monroe County,MONROE,669 NORTH WINTON ROAD,ROCHESTER,14609    ,270104,ROCHESTER,MAYFIELD'S PUB,12/31/2016,,,,,741520,Inspection,,NY,"(43.158379, -77.548323)"
EL NUEVO MAYIMBE RESTAURANT         ,"57 PALISADE AVENUE,  YONKERS",04/12/2016,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,2,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,57 PALISADE AVENUE,YONKERS,10705    ,590707,YONKERS,EL NUEVO MAYIMBE RESTAURANT,06/30/2016,,EL NUEVO MAYIMBE RESTAURANT LLC,SANTOS,JULIAN,588344,Inspection,"REPAIR CEILING BEFORE THE NEXT ROUTINE INSPECTION. DISCUSSED - PROPER COOLING PROCEDURES 120F-70F IN 2 HRS AND 70F-45 IN AN ADDITIONAL 4 HRS. COOL ALL SOUPS SAUCES, GRAVIES, LIQUIDS IN SHALLOW CONTAINER LESS THAN 4"" DEEP. PROVIDE PROOF OF COMPLETION OF FOOD COURSE BY NEXT INSPECTION.",NY,"(40.934862, -73.894953)"
OWL'S NEST PIZZA & MORE             ,"171 EAST MAIN STREET,  CHATEAUGAY",04/22/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,16,Food Service Establishment - Restaurant,Saranac Lake District Office,FRANKLIN,171 EAST MAIN STREET,CHATEAUGAY,12920    ,165700,CHATEAUGAY,OWL'S NEST PIZZA & MORE,07/31/2016,,,TATRO,BRETT,359646,Inspection,"Temperatures measured: gravy = 167 deg. F, meatballs = 155 deg. F, taco meat = 162 deg. F, shredded cheese 45 deg. F, diced tomatoes = 44 deg. F, chicken wings (deli cooler) = 45 deg. F, chicken wings (walk-in cooler) = 43 deg. F, lasagna = 43 deg. F. Cooling procedures for chicken wings was discussed. The temperatures of potentially hazardous food items in the top of the small deli cooler and the sandwich deli cooler near the cook line are barely maintaining temperatures at or below 45 deg. F. Please monitor the temperatures of these coolers and do not overfill food containers. Use metal containers with lids and keep cover closed whenever possible.",NY,"(44.926605, -74.078917)"
PALERMO'S SUBS & PIZZA              ,"910 ELMGROVE ROAD,  ROCHESTER",04/04/2016,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,2,Food Service Establishment - Restaurant,Monroe County,MONROE,910 ELMGROVE ROAD,ROCHESTER,14624    ,270104,ROCHESTER,Palermo's Sub Station,12/31/2016,,,,,675431,Re-Inspection,,NY,"(43.152129, -77.732275)"
ANTONIO'S PIZZA                     ,"130 MIDLAND AVENUE,  PORT CHESTER",04/27/2016,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,8,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,130 MIDLAND AVENUE,PORT CHESTER,10573    ,590600,RYE,ANTONIO'S PIZZA,01/31/2017,ANTONIO'S PIZZA,GABBINO PIZZA CORP.,GABBINO PIZZA CORP., ,458377,Inspection,"measured temperatures acceptable
Discussd indirect drain to be installed on large single bay sink and sink to be labeled ""food prep only"" handwash station to be set up on ""wash"" bay of 3 bay sink
Establishment to be upgraded to a High risk facility for next permit renewal
regal pest management last visited 4/14",NY,"(40.992672, -73.668808)"
BILL'S RESTAURANT                   ,"155 ONTARIO STREET,  COHOES",04/26/2016,"Item  7A-  Critical Violation [RED] All poultry, poultry stuffings, stuffed meats and stuffings containing meat are not heated to 165oF or above.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; ",1,0,3,Food Service Establishment - Restaurant,Albany County,ALBANY,155 ONTARIO STREET,COHOES,12047    ,010200,COHOES,BILL'S RESTAURANT,09/30/2016,,,,,252339,Inspection,,NY,"(42.773642, -73.692309)"
EVERCARE CHOICE                     ,"31 CERONE  PLACE,  NEWBURGH",04/26/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Orange County,ORANGE,31 CERONE  PLACE,NEWBURGH,12550    ,350200,NEWBURGH,Evercare Choice,10/31/2016,,"Elant Choice, Inc",McTigue,Sylvia,910564,Inspection,,NY,"(41.498564, -74.033667)"
SANDEE'S BROOKLYN SQUARE CAFE       ,"15 SOUTH MAIN STREET,  JAMESTOWN",04/21/2016,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; ",2,0,3,Food Service Establishment - Restaurant,Chautauqua County,CHAUTAUQUA,15 SOUTH MAIN STREET,JAMESTOWN,14701    ,060200,JAMESTOWN,SANDEE'S BROOKLYN SQUARE CAFE FSE,12/31/2017,,,FOTI,ROBERT,721266,Inspection,,NY,"(42.093006, -79.238727)"
NEW MARINA DELI                     ,"416 B PELHAM ROAD,  NEW ROCHELLE",04/27/2016,No violations found.,0,0,0,Food Service Establishment - Delicatessen,Westchester County,WESTCHESTER,416 B PELHAM ROAD,NEW ROCHELLE,10805    ,590400,NEW ROCHELLE,NEW MARINA DELI,12/31/2016,NEW MARINA DELI,"MARINA DELI, INC.","MARINA DELI, INC.", ,456121,Re-Inspection,"THIS MATTER HAS BEEN REFERRED FOR ADMINISTRATIVE ACTION UNDER CASE NUMBER PHP-6356-16-MK-VAST-FSE WITH A HEARING TO BE HELD AT 
25 MOORE AVENUE, MT KISCO NY 10549 TO BE HELD ON JUNE 9, 2016 @ 930AM

AT THIS TIME A WAIVER OF HEARING HAS BEEN OFFERED.  TO PLEAD GUILTY BY MAIL PLEASE FILL OUT THE BACK OF THE PINK TICKET AND SUBMIT IT ALONG WITH A CERTIFIED CHECK OT MONEY ORDER FOR $250.00 TO 25 MOORE AVENUE, MT KISCO NY 10549.  TO PLEAD GUILTY BY PHONE WITH A CREDIT CARD PLEASE CALL 914-864-7365 OT 914-864-7351 AND PROVIDE THE OPERATOR WITH THE CASE NUMBER LISTED BELOW AND AT THE BOTTOM OF THE TICKET.  

PAYMENT MUST BE RECIEVED BY MAY 2, 2016 OR SOMEONE MUST APPEAR AT THE HEARING

OPERATOR STATES THAT HE IS IN THE PROCESS OF OBTAINING BUILDING PERMITS TO RENOVATE THE STORE.  IF EQUIPMENT AND LAYOUT WILL BE CHANGED PLANS MUST BE SUBMITTED TO THIS DEPARTMENT FOR PRIOR APPROVAL BEFORE THE RENOVATION CAN BEGIN.  PROVIDED PLAN REVIEW APPLICATION AT THIS TIME",NY,"(40.895923, -73.779157)"
MC DONALD'S RESTAURANT              ,"254 ROUTE 9W,  HAVERSTRAW",04/28/2016,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,2,Food Service Establishment - Food Service Establishment,Rockland County,ROCKLAND,254 ROUTE 9W  ,HAVERSTRAW,10927    ,435100,HAVERSTRAW,MC DONALD'S RESTAURANT,04/30/2017,MC DONALD'S RESTAURANT,STONECREST RESTAURANT CORP.,WILDER,ALBERT,303456,Re-Inspection,The supervisor tried to adjust mixing valve to get hot water to 110 Degrees F. or above. The valve is frozen in place and won't turn.  Supervisor stated he will have a new mixing valve installed.  Operator must call Jeanne Longo at 845-364-2001 when valve is replaced and water is 110 or above.,NY,"(41.20041, -73.98313)"
ROTTERDAM SQUARE CINEMAS            ,"93 WEST CAMPBELL ROAD,  ROTTERDAM",04/28/2016,No violations found.,0,0,0,Food Service Establishment - Frozen Desserts,Schenectady County,SCHENECTADY,93 WEST CAMPBELL ROAD,ROTTERDAM,12306    ,465400,ROTTERDAM,ROTTERDAM SQUARE CINEMAS FD,06/30/2016,,,,,821669,Inspection,No violations observed. Machine cleaned nightly.,NY,"(42.810308, -73.989769)"
BEV'S PLACE                         ,"372 ORISKANY BOULEVARD,  WHITESBORO",04/27/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Oneida County,ONEIDA,372 ORISKANY BOULEVARD,WHITESBORO,13492    ,327500,WHITESTOWN,BEV'S PLACE,12/31/2016,,,KREBS,BEVERLY,291045,Inspection,Satisfactory,NY,"(43.13344, -75.3028)"
WARWICK DRIVE IN #2                 ,"5 WARWICK  TURNPIKE,  WARWICK",04/30/2014,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Orange County,ORANGE,5 WARWICK  TURNPIKE,WARWICK,10990    ,356700,WARWICK,Warwick Drive In #2                 ,06/30/2016,,"Casey Family Theaters, Inc.",Wilson,Beth,603450,Inspection,,NY,"(41.236034, -74.382207)"
PANDA RESTAURANT                    ,"266 QUASSAICK  AVENUE,  NEW WINDSOR",04/28/2016,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8F-   Improper thawing procedures used; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; ",0,0,4,Food Service Establishment - Food Service Establishment,Orange County,ORANGE,266 QUASSAICK  AVENUE,NEW WINDSOR,12553    ,356400,NEW WINDSOR,Panda Restaurant,10/31/2016,,,Chi,Guo,907147,Inspection,,NY,"(41.47121, -74.02742)"
FAMILY ENRICHMENT NETWORK-WILSON    ,"287 Prospect STREET,  BINGHAMTON",12/09/2013,"Item  9C-   Hair is improperly restrained; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,3,Institutional Food Service - Day Care Center Food Service,Broome County,BROOME,287 Prospect STREET,BINGHAMTON,13905    ,030100,BINGHAMTON,FAMILY ENRICHMENT NETWORK-WILSON,02/28/2017,,FAMILY ENRICHMENT NETWORK,ENRICHMENT NETWORK,FAMILY,256831,Inspection,,NY,"(42.114646, -75.936785)"
RENAISSANCE WESTCHESTER HOTEL       ,"80 WEST RED OAK LANE,  WHITE PLAINS",12/04/2013,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,80 WEST RED OAK LANE,WHITE PLAINS,10604    ,595400,HARRISON,RENAISSANCE WESTCHESTER HOTEL - FSE,12/31/2016,,,,,318015,Inspection,,NY,"(41.01617, -73.722506)"
HOSKING SALES                       ,"6096 STATE HWY 8,  NEW BERLIN",12/26/2013,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Chenango County,CHENANGO,6096 STATE HWY 8  ,NEW BERLIN,13411    ,085200,COLUMBUS,HOSKING SALES,09/30/2016,,HOSKING SALES,HOSKING,TOM & BRENDA,749836,Inspection,,NY,"(42.709526, -75.317881)"
SOMERTON'S PUBLICK HOUSE            ,"729 PARK AVENUE,  ROCHESTER",01/21/2014,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,6,Food Service Establishment - Restaurant,Monroe County,MONROE,729 PARK AVENUE,ROCHESTER,14607    ,270104,ROCHESTER,PREPPS,12/31/2016,,,,,810109,Inspection,,NY,"(43.147607, -77.576224)"
TEDS FISH FRY INC                   ,"700 HOOSICK ROAD,  TROY",02/26/2014,No violations found.,0,0,0,Food Service Establishment - Restaurant,Rensselaer County,RENSSELAER,700 HOOSICK ROAD,TROY,12180    ,415100,BRUNSWICK,TEDS FISH FRY INC.,11/30/2016,,TED'S FISH FRY INC,DEEB,SARKIS,301236,Inspection,,NY,"(42.743049, -73.647224)"
TOT-AL CARE                         ,"5262 PARKSIDE  DRIVE,  CANANDAIGUA",03/10/2014,No violations found.,0,0,0,Institutional Food Service - Day Care Center Food Service,Geneva District Office,ONTARIO,5262 PARKSIDE  DRIVE,CANANDAIGUA,14424    ,349800,CANANDAIGUA T,TOT-AL CARE,,,,PAULA WALDMAN,,327181,Inspection,,NY,"(42.910349, -77.296992)"
TLC ADVENTURES IN CHILD CARE        ,"7444 STATE ROAD 251,  VICTOR",04/03/2014,No violations found.,0,0,0,Institutional Food Service - Day Care Center Food Service,Geneva District Office,ONTARIO,7444 STATE ROAD 251   ,VICTOR ,14564    ,346400,VICTOR,TLC ADVENTURES IN CHILD CARE,,,TLC ADVENTURES IN CHILD CARE ,,,786952,Re-Inspection,Re-inspection of facility following 10/31/14 inspection. No violations were observed at the time of inspection. Facility is in substantial compliance with State Sanitary Code subpart 14-1. Dishwasher appears to conform to NSF sanitization guidelines. Dishwasher must be operated in accordance with manufacturer's instructions for sanitization.,NY,"(42.992847, -77.439747)"
SENIOR NUTRITION PROGRAM - RYE BROOK,"32 GARIBALDI PLACE,  RYE BROOK",01/28/2014,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); ",0,0,1,SOFA Food Service - SOFA Prep Site-State Office for the Aging,Westchester County,WESTCHESTER,32 GARIBALDI PLACE,RYE BROOK,10573    ,594200,RYE,SENIOR NUTRITION PROGRAM - RYE BROOK,06/30/2016,,VILLAGE OF RYE BROOK,VILLAGE OF RYE BROOK, ,481504,Inspection,,NY,"(40.998759, -73.679634)"
VILLA OF HOPE                       ,"3300 DEWEY AVENUE,  ROCHESTER",04/03/2014,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,1,Food Service Establishment - Restaurant,Monroe County,MONROE,3300 DEWEY AVENUE,ROCHESTER,14616    ,270104,ROCHESTER,ST. JOSEPH'S VILLA OF ROCHESTER,12/31/2016,,,,,726965,Inspection,,NY,"(43.229295, -77.646411)"
PARK BENCH PUB                      ,"439 MONROE AVENUE,  ROCHESTER",04/22/2014,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,7,Food Service Establishment - Restaurant,Monroe County,MONROE,439 MONROE AVENUE,ROCHESTER,14607    ,270104,ROCHESTER,PARK BENCH,12/31/2016,,,,,695220,Inspection,,NY,"(43.14729, -77.595115)"
ABILENE BAR AND LOUNGE              ,"153 LIBERTY POLE WAY WAY,  ROCHESTER",06/13/2014,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,5,Food Service Establishment - Restaurant,Monroe County,MONROE,153 LIBERTY POLE WAY WAY,ROCHESTER,14604    ,270104,ROCHESTER,ABILENE,12/31/2016,,,,,666413,Inspection,,NY,"(43.16023, -77.604098)"
REDENDO'S PIZZA                     ,"116  CLOWES AVENUE,  GOSHEN",04/27/2016,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Food Service Establishment,Orange County,ORANGE,116  CLOWES AVENUE,GOSHEN,10924    ,352300,GOSHEN,Redendo's Pizza,09/30/2016,,Alur Foods Inc.,Redendo,Frank,602529,Inspection,,NY,"(41.398581, -74.332527)"
PECKHAM'S PLACE                     ,"7 NORTH REYNOLDS STREET,  SCOTIA",04/28/2016,No violations found.,0,0,0,Food Service Establishment - Tavern,Schenectady County,SCHENECTADY,7 NORTH REYNOLDS STREET,SCOTIA,12302    ,462000,GLENVILLE,JACK PECKHAM ESTATE,06/30/2016,,,PECKHAM ESTATE,JACK,305905,Inspection,,NY,"(42.828379, -73.967958)"
NIC-L-INN                           ,"12045 BONE RUN ROAD,  FREWSBURG",04/26/2016,"Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",1,0,1,Food Service Establishment - Restaurant,Cattaraugus County,CATTARAUGUS,12045 BONE RUN ROAD,FREWSBURG,14738    ,048100,SO. VALLEY,NIC-L-INN,09/30/2016,,"NIAGARA LONESTAR GROUP, LLC",WALSTON,DEBORAH,910589,Inspection,Operator to contact dish washer service technician to confirm what work has been done to the units. Confirm that water temperature reaches a minimum 180F during rinse cycle or convert unit to sanitize with chemicals,NY,"(42.053784, -79.005459)"
SCARSDALE GOLF CLUB MIDWAY          ,"CLUB WAY,  HARTSDALE",04/27/2016,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER, CLUB WAY,HARTSDALE,10530    ,595300,GREENBURGH,SCARSDALE GOLF CLUB MIDWAY,06/30/2016,SCARSDALE GOLF CLB/MIDWAY,"SCARSDALE GOLF CLUB, INCORPORATED",, ,479135,Inspection,No red or blue violations observed. All hot and cold temperatures acceptable at this time.,NY,"(41.00903, -73.799581)"
BEACON HIGH SCHOOL                  ,"101 MATTEWAN  ROAD,  BEACON",04/27/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Dutchess County,DUTCHESS,101 MATTEWAN  ROAD,BEACON,12508    ,130100,BEACON,BEACON HIGH SCHOOL,06/30/2016,,BEACON CITY SCHOOL DISTRICT,PAGANO,KAREN,274120,Re-Inspection,No violations observed.  Follow up to inspection of April 8.,NY,"(41.508114, -73.968039)"
RICE KING                           ,"180 EAST ROUTE 59,  SPRING VALLEY",04/27/2016,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,3,Food Service Establishment - Food Service Establishment,Rockland County,ROCKLAND,180 EAST ROUTE 59  ,SPRING VALLEY,10977    ,435300,RAMAPO,RICE KING ,01/31/2017,,,CHEN,XIU,885329,Inspection,,NY,"(41.108667, -74.041429)"
MR BILL'S RESTAURANT                ,"1-3 TRIEBLE AVENUE,  BALLSTON SPA",04/29/2016,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",2,0,3,Food Service Establishment - Food Service Establishment,Glens Falls District Office,SARATOGA,1-3 TRIEBLE AVENUE,BALLSTON SPA,12020    ,456100,MILTON,MR BILL'S RESTAURANT,03/31/2017,,"MR BILLS CAR HOP RESTAURANT, INC.",LABARR,JERRY,887639,Inspection,All violations to be corrected or enforcement actions may be pursued.  A Notice of Intent and manufacturers spec sheets must be submitted for the walk-in cooler and the walk-in freezer by 5/15/16.,NY,"(43.045387, -73.851766)"
PHOENIX FITNESS                     ,"135 MARBLEDALE ROAD,  TUCKAHOE",03/01/2012,Item 11D-   Non food contact surfaces of equipment not clean; ,0,0,1,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,135 MARBLEDALE ROAD,TUCKAHOE,10707    ,592300,E. CHESTER,PHOENIX FITNESS,03/31/2017,,PHOENIX FITNESS LLC,PHOENIX FITNESS LLC, ,423670,Inspection,,NY,"(40.953612, -73.81986)"
WENDY'S                             ,"5001 HEMPSTEAD  TURNPIKE,  FARMINGDALE",09/08/2008,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Frozen Desserts,Nassau  County,NASSAU,5001 HEMPSTEAD  TURNPIKE,FARMINGDALE,11735    ,292700,OYSTER BAY,WENDY'S FD,01/31/2017,,,,,579180,Inspection,,NY,"(40.72898, -73.464474)"
"BEST HUNAN, INC.                    ","418  GEYSER RD, STORE #4,  BALLSTON SPA",04/29/2016,"Item  1D-  Critical Violation [RED] Canned foods found in poor conditions (leakers, severe dents, rusty, swollen cans); Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8F-   Improper thawing procedures used; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",3,0,7,Food Service Establishment - Food Service Establishment,Glens Falls District Office,SARATOGA,"418  GEYSER RD, STORE #4  ",BALLSTON SPA,12020    ,456100,MILTON,BEST HUNAN,09/30/2016,,,LI CAI,XIAO,551138,Inspection,All violations to be corrected or enforcement actions may be pursued.,NY,"(43.047677, -73.844866)"
JD GIFTS                            ,"21 O'LAUGHLIN DRIVE,  NIAGARA FALLS",04/25/2016,"Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,3,Food Service Establishment - Restaurant,Niagara County,NIAGARA,21 O'LAUGHLIN DRIVE,NIAGARA FALLS,14303    ,310200,NIAGARA FALLS,JD GIFTS ,04/30/2016,,JD GIFTS LLC,SEPIELLI,DEBORAH,795354,Inspection,"Coolers<45dF, Food Testing Thermometer-ok,  bleach sanitizer for wiping cloths, quat sanitizer used for dish washing. 3-bay sink-ok, choking poster/cpr kit-ok. Restrooms-ok (no longer used for customers).  Gave handwash signs.",NY,"(43.08713, -79.06171)"
